StoreNumber,WeekEnd,AcctPeriod,AcctWeek,AcctYear
206,1/10/2021,1,2,2021

InvtGLCat1,ItemID1,ItemName1,ItemUnit1,ItemCount2,ItemCost1,Amount1,InvtGLCat,Textbox86
Bakery                   ,15413,"Bread, Baguette, 24 ct.                           ",LOAF                     ,33.00,$1.10,$36.30,Bakery                   ,$1038.43
Bakery                   ,15258,"Bread, Oat Topped Wheat, 8 ct.                    ",LOAF                     ,8.00,$2.05,$16.40,Bakery                   ,$1038.43
Bakery                   ,15409,"Bread, Texas Toast, 8 ct.                         ",LOAF                     ,7.00,$1.63,$11.41,Bakery                   ,$1038.43
Bakery                   ,13093,"Brownie, 4/12 ct. trays                           ",Tray                     ,1.67,$24.02,$40.03,Bakery                   ,$1038.43
Bakery                   ,21164,"Cheesecake, Plain, 4/12 ct.                       ",Each                     ,2.75,$13.93,$38.31,Bakery                   ,$1038.43
Bakery                   ,16609,"English Muffins, 6/12 ct.                         ",PACK                     ,0.00,$2.98,$0.00,Bakery                   ,$1038.43
Bakery                   ,17329,"Goo Goo Clusters, 24 ct.                          ",Each                     ,0.00,$0.81,$0.00,Bakery                   ,$1038.43
Bakery                   ,17328,"Goo Goo Dessert, 8 ct.                            ",Tray                     ,0.00,$9.80,$0.00,Bakery                   ,$1038.43
Bakery                   ,15361,"Hamburger Bun, split top, 12/8 ct.                ",Bag                      ,21.00,$1.80,$37.80,Bakery                   ,$1038.43
Bakery                   ,1070,"Pie Shell, Graham                                 ",EA                       ,35.66,$1.97,$70.25,Bakery                   ,$1038.43
Bakery                   ,14915,"Pie, Country Apple, 6 ct.                         ",Each                     ,18.00,$4.29,$77.22,Bakery                   ,$1038.43
Bakery                   ,15851,"Pie, Double Crust Cherry, 6 ct.                   ",Each                     ,20.00,$4.60,$92.00,Bakery                   ,$1038.43
Bakery                   ,14916,"Pie, Double Crust Peach, 6 ct.                    ",Each                     ,0.00,$3.85,$0.00,Bakery                   ,$1038.43
Bakery                   ,14917,"Pie, French Silk, base, 6 ct.                     ",Each                     ,16.83,$4.63,$77.92,Bakery                   ,$1038.43
Bakery                   ,21398,"Pie, Lemon Meringue, 6 ct.                        ",Each                     ,19.00,$4.86,$92.34,Bakery                   ,$1038.43
Bakery                   ,15109,"Pie, Pumpkin, 6 ct.                               ",Each                     ,0.00,$7.59,$0.00,Bakery                   ,$1038.43
